step,elapsed_sec,step_ms,forward_ms,backward_ms,optimizer_step_ms,checkpoint_ms,loss
1,0.7467864621430635,734.85313,258.771048,373.630379,102.276519,-1e-06,12.092621803283691
2,1.3836743962019682,633.365024,180.839599,356.177615,95.563956,-1e-06,12.059115409851074
3,2.020879903808236,632.920107,180.987871,355.413964,95.793449,-1e-06,12.063676834106445
4,2.6602456979453564,633.497096,181.048693,355.276881,96.081874,-1e-06,12.085212707519531
5,3.299296719953418,632.826836,180.864489,355.303871,95.908533,-1e-06,12.071727752685547
6,3.938336769118905,632.117804,180.92103,354.861114,95.560636,-1e-06,12.091951370239258
7,4.5796454176306725,633.71335,181.008213,355.86325,96.060484,-1e-06,12.092031478881836
8,5.21938350982964,632.5137,181.024442,355.056248,95.646018,-1e-06,12.10195541381836
9,5.858626242727041,632.557421,181.085784,355.176399,95.550485,-1e-06,12.174162864685059
10,6.498018437996507,632.528211,180.971682,354.972015,95.80022,-1e-06,12.184191703796387
11,7.141024153679609,635.704304,181.044492,355.383483,98.493456,-1e-06,12.202794075012207
12,7.777123404666781,631.999842,181.066124,354.748292,95.406713,-1e-06,12.205939292907715
13,8.417146911844611,631.90689,180.716908,354.978506,95.464725,-1e-06,12.251490592956543
14,9.057097217068076,632.186084,181.067293,354.939286,95.419944,-1e-06,12.26585578918457
15,9.697048841044307,632.486209,180.988542,355.099138,95.647367,-1e-06,12.26917552947998
16,10.336701262742281,632.359378,180.901641,355.005497,95.679758,-1e-06,12.282591819763184
17,10.9762128200382,631.940911,180.840369,354.814633,95.543676,-1e-06,12.430353164672852
18,11.617093550041318,631.832128,181.025633,354.67831,95.349722,-1e-06,12.519403457641602
19,12.256941054016352,632.992439,180.824099,354.658301,96.533693,-1e-06,12.545302391052246
20,12.896414460614324,632.54236,181.091333,354.709372,95.840991,-1e-06,12.552875518798828
21,13.535979120060802,632.646672,180.83379,354.865664,96.112265,-1e-06,12.620209693908691
22,14.17414783500135,631.051075,180.779168,354.415797,95.091869,-1e-06,12.620984077453613
23,14.809691555798054,632.731893,180.771377,355.030147,95.75738,-1e-06,12.71767520904541
24,15.445855408906937,633.182192,181.085413,355.445614,95.886741,-1e-06,12.797796249389648
25,16.08206588961184,633.08407,180.904501,355.046007,96.232827,-1e-06,12.877017974853516
26,16.716426711529493,631.207319,180.831219,354.405246,95.21103,-1e-06,12.89833927154541
27,17.354569306597114,632.277076,180.86756,354.691831,95.952333,-1e-06,12.937036514282227
28,17.99316617846489,631.207399,180.757758,354.446387,95.22989,-1e-06,12.979161262512207
29,18.633637873455882,632.371789,180.784468,354.674271,96.129246,-1e-06,13.011312484741211
30,19.272995818406343,631.446522,181.011802,354.277604,95.407154,-1e-06,13.0028715133667
31,19.912913152948022,631.93355,180.796119,354.65704,95.699968,-1e-06,12.986065864562988
32,20.55212397687137,630.907034,180.926111,353.878177,95.338413,-1e-06,13.043997764587402
33,21.188156105577946,633.018349,180.88701,355.190539,96.169877,-1e-06,13.047781944274902
34,21.823864739388227,632.524881,181.184185,355.181089,95.394973,-1e-06,13.066230773925781
35,22.459352798759937,632.521731,181.068103,355.153859,95.523485,-1e-06,13.069382667541504
36,23.09483796916902,632.504021,180.87037,354.854174,95.825211,-1e-06,13.050335884094238
37,23.73248267546296,632.044243,181.133463,354.491328,95.574697,-1e-06,13.036152839660645
38,24.37137495353818,631.391711,180.916831,354.302575,95.407203,-1e-06,13.086897850036621
39,25.012010909616947,632.215136,180.966262,354.611889,95.857241,-1e-06,13.040175437927246
40,25.650790695101023,630.948184,180.883449,353.939978,95.349353,-1e-06,13.041484832763672
41,26.29131256043911,632.560261,180.710557,354.964656,96.075194,-1e-06,13.007290840148926
42,26.930158087983727,630.984514,180.994951,354.03224,95.17691,-1e-06,13.056110382080078
43,27.565225441008806,632.152764,180.89447,354.67469,95.82438,-1e-06,13.029374122619629
44,28.200953064486384,632.748524,181.123655,355.088928,95.760859,-1e-06,13.035788536071777
45,28.83651864528656,632.396918,181.102034,354.677731,95.856671,-1e-06,13.001067161560059
46,29.470309548079967,630.827102,180.968851,354.0091,95.033877,-1e-06,13.032305717468262
47,30.10995229706168,631.805678,181.057333,354.105491,95.873572,-1e-06,13.03453540802002
48,30.748377276584506,630.567418,180.811939,353.773876,95.21984,-1e-06,12.991891860961914
49,31.38408570177853,632.751144,181.073494,354.784883,96.081634,-1e-06,13.011617660522461
50,32.01925891637802,632.152524,181.580951,354.61086,95.18632,-1e-06,13.00418472290039
51,32.65448318235576,632.172234,181.106313,354.130752,96.155507,-1e-06,13.023103713989258
52,33.2898736409843,631.208788,181.181165,353.792816,95.462474,-1e-06,13.00916576385498
53,33.928260929882526,631.216689,180.88586,354.000709,95.563696,-1e-06,13.012077331542969
54,34.5671978071332,630.939734,180.92215,353.687464,95.557416,-1e-06,13.043532371520996
55,35.20197839662433,631.790438,180.923001,354.453537,95.648077,-1e-06,12.980640411376953
56,35.836505418643355,631.521383,181.031763,354.259144,95.439693,-1e-06,13.036112785339355
57,36.47175626643002,632.279856,180.976792,353.899498,96.464251,-1e-06,13.042240142822266
58,37.10766688361764,631.125296,181.194635,353.548482,95.500896,-1e-06,13.002422332763672
59,37.74692942760885,631.177308,180.975922,353.672914,95.769389,-1e-06,12.995972633361816
60,38.38097784295678,631.085467,180.846199,353.967929,95.507185,-1e-06,13.012690544128418
61,39.01555081829429,631.634935,181.003802,354.215603,95.602296,-1e-06,13.001263618469238
62,39.648977003991604,630.537097,180.85735,353.285168,95.633668,-1e-06,13.012084007263184
63,40.28599971905351,630.883212,180.90284,353.555952,95.666108,-1e-06,13.032124519348145
64,40.92083238810301,631.853719,180.922891,354.63608,95.492794,-1e-06,13.035917282104492
65,41.55548686347902,631.673246,181.071214,354.236653,95.563186,-1e-06,13.025270462036133
66,42.188504884019494,630.092681,180.90201,352.964222,95.471125,-1e-06,12.998273849487305
67,42.82490159012377,630.583258,180.907569,353.190666,95.678299,-1e-06,13.011109352111816
68,43.458926463499665,630.866072,180.802409,353.606484,95.701468,-1e-06,13.00301456451416
69,44.09422882087529,632.233825,181.109644,354.489058,95.887561,-1e-06,13.033279418945312
70,44.72739016264677,630.205531,180.939451,353.462701,95.043277,-1e-06,13.053155899047852
71,45.3648642282933,631.281879,180.959481,353.600853,95.931542,-1e-06,13.018486022949219
72,46.003525560721755,630.09039,180.778909,353.100864,95.447304,-1e-06,13.007242202758789
73,46.637772519141436,631.279289,181.044523,353.811286,95.684428,-1e-06,13.051124572753906
74,47.272833751514554,632.037332,180.968222,354.453047,95.83788,-1e-06,13.0403470993042
75,47.90701640211046,631.118697,181.180855,353.517232,95.653538,-1e-06,13.073566436767578
76,48.54359562881291,630.758521,180.925771,353.106635,95.947462,-1e-06,13.064407348632812
77,49.177939880639315,631.369981,180.999452,353.954978,95.636216,-1e-06,13.030630111694336
78,49.812167858704925,631.252569,181.063933,353.824257,95.577326,-1e-06,13.09379768371582
79,50.446385918185115,631.036026,181.220926,353.589543,95.464075,-1e-06,13.057784080505371
80,51.08223532512784,630.299433,180.92359,353.201866,95.367263,-1e-06,13.103303909301758
81,51.717256708070636,631.92905,181.109414,354.101781,95.943093,-1e-06,13.067683219909668
82,52.35154518671334,631.245188,181.268967,353.845467,95.333712,-1e-06,13.080036163330078
83,52.98573411628604,631.27288,181.176825,353.651003,95.677058,-1e-06,13.069756507873535
84,53.62201431021094,630.988295,181.009381,353.180186,96.035384,-1e-06,13.116257667541504
85,54.256598234176636,631.636116,181.049112,354.114961,95.721779,-1e-06,13.103882789611816
86,54.8934019356966,633.7215,181.245937,355.083558,96.41835,-1e-06,13.11109447479248
87,55.52768764644861,631.095517,181.179135,353.46222,95.603826,-1e-06,13.112833023071289
88,56.1612083632499,630.233642,180.91208,353.021793,95.510775,-1e-06,13.135780334472656
89,56.7949379645288,630.909363,180.9374,353.594293,95.621627,-1e-06,13.113550186157227
90,57.429082091897726,631.145507,181.151025,353.801376,95.424194,-1e-06,13.151734352111816
91,58.063148038461804,631.112466,181.128284,353.263397,95.924351,-1e-06,13.169519424438477
92,58.699559804052114,630.06459,180.87965,353.199506,95.199621,-1e-06,13.168415069580078
93,59.33411016874015,631.571294,181.132594,353.972879,95.683029,-1e-06,13.185747146606445
94,59.9682730268687,631.178108,181.136864,353.762105,95.521265,-1e-06,13.199073791503906
95,60.60262639820576,631.457043,180.89548,353.829016,95.930592,-1e-06,13.220208168029785
96,61.23924885690212,630.254072,180.945871,353.302358,95.23014,-1e-06,13.190606117248535
97,61.87379885092378,631.565804,180.968141,353.923708,95.915122,-1e-06,13.25181770324707
98,62.50793452747166,630.971224,181.082553,353.785046,95.304172,-1e-06,13.300066947937012
99,63.141820542514324,630.894632,181.086574,353.137025,95.864941,-1e-06,13.277009963989258
100,63.77805331349373,630.073649,180.84714,352.959522,95.503174,-1e-06,13.333768844604492
101,64.41279028169811,631.718417,181.035803,353.969989,95.902432,-1e-06,13.342806816101074
102,65.04729843698442,631.617445,181.106263,353.917258,95.824141,-1e-06,13.319856643676758
103,65.68129545077682,631.003525,181.080073,353.322908,95.848321,-1e-06,13.348321914672852
104,66.31713266670704,630.185151,181.006092,353.062524,95.330052,-1e-06,13.311774253845215
105,66.95123523287475,631.135017,180.922981,353.832477,95.619687,-1e-06,13.373497009277344
106,67.58464063890278,630.440565,181.170115,353.233297,95.276722,-1e-06,13.432334899902344
107,68.21829267963767,630.638219,180.90236,352.940221,96.042895,-1e-06,13.42017936706543
108,68.85735612921417,631.178087,181.074064,353.548182,95.766129,-1e-06,13.381275177001953
109,69.49161206930876,631.32452,180.972502,353.673644,95.835531,-1e-06,13.454388618469238
110,70.12547164224088,630.906004,181.085053,353.614273,95.411234,-1e-06,13.48758602142334
