step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
1,0.751479534432292,740.145101,96.0,26349.25,32760.0,131.322,134533.0,3.737027777777778e-05,0.0014948111111111112,3.737027777777778e-05,0.0014948111111111112,,,,,,,,,,
2,1.3868956565856934,633.072772,100.0,29493.25,32760.0,199.157,118957.0,3.304361111111111e-05,0.0013217444444444445,7.041388888888889e-05,0.0028165555555555557,,,,,,,,,,
3,2.021755049005151,632.671765,80.0,29493.25,32760.0,199.347,137993.0,3.833138888888889e-05,0.0015332555555555554,0.00010874527777777778,0.004349811111111111,,,,,,,,,,
4,2.660698391497135,632.870738,88.0,29493.25,32760.0,202.477,123180.0,3.421666666666667e-05,0.0013686666666666667,0.00014296194444444446,0.0057184777777777775,,,,,,,,,,
5,3.2997776363044977,632.705665,88.0,29493.25,32760.0,203.632,120147.0,3.337416666666667e-05,0.0013349666666666667,0.00017633611111111112,0.007053444444444444,,,,,,,,,,
6,3.938786620274186,632.39755,97.0,29493.25,32760.0,200.502,139720.0,3.8811111111111114e-05,0.0015524444444444446,0.00021514722222222224,0.008605888888888889,,,,,,,,,,
7,4.578604767099023,632.891699,100.0,29493.25,32760.0,202.123,120493.0,3.347027777777778e-05,0.0013388111111111113,0.00024861750000000003,0.0099447,,,,,,,,,,
8,5.21805651858449,632.465471,100.0,29493.25,32760.0,198.271,137232.0,3.812e-05,0.0015248,0.0002867375,0.0114695,,,,,,,,,,
9,5.858616799116135,632.789227,88.0,29493.25,32760.0,201.66,123310.0,3.425277777777778e-05,0.0013701111111111112,0.00032099027777777783,0.012839611111111112,,,,,,,,,,
10,6.497951608151197,632.167156,88.0,29493.25,32760.0,203.264,119987.0,3.3329722222222225e-05,0.001333188888888889,0.00035432000000000004,0.014172800000000001,,,,,,,,,,
11,7.1375281400978565,632.674725,97.0,29493.25,32760.0,200.368,139748.0,3.8818888888888886e-05,0.0015527555555555554,0.00039313888888888894,0.015725555555555555,,,,,,,,,,
12,7.777511931955814,632.704696,100.0,29493.25,32760.0,202.363,120864.0,3.357333333333333e-05,0.0013429333333333333,0.0004267122222222223,0.01706848888888889,,,,,,,,,,
13,8.419037839397788,634.533867,79.0,29493.25,32760.0,198.726,137098.0,3.8082777777777776e-05,0.001523311111111111,0.00046479500000000005,0.0185918,,,,,,,,,,
14,9.057852659374475,632.073755,88.0,29493.25,32760.0,201.685,123242.0,3.423388888888889e-05,0.0013693555555555556,0.0004990288888888889,0.019961155555555554,,,,,,,,,,
15,9.696700459346175,632.068345,88.0,29493.25,32760.0,203.71,120116.0,3.3365555555555556e-05,0.0013346222222222221,0.0005323944444444445,0.021295777777777775,,,,,,,,,,
16,10.336766881868243,632.870238,97.0,29493.25,32760.0,200.495,139921.0,3.886694444444444e-05,0.0015546777777777777,0.000571261388888889,0.02285045555555555,,,,,,,,,,
17,10.975997619330883,632.208427,100.0,29493.25,32760.0,202.626,121070.0,3.3630555555555554e-05,0.001345222222222222,0.0006048919444444445,0.024195677777777775,,,,,,,,,,
18,11.610920121893287,632.723196,100.0,29493.25,32760.0,204.487,119505.0,3.319583333333333e-05,0.0013278333333333332,0.0006380877777777778,0.02552351111111111,,,,,,,,,,
19,12.245683412998915,632.605664,87.0,29493.25,32760.0,200.929,137876.0,3.829888888888889e-05,0.0015319555555555558,0.0006763866666666667,0.027055466666666663,,,,,,,,,,
