step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
1,0.3894734885543585,380.176078,57.0,8637.25,32760.0,57.423,44193.0,1.2275833333333334e-05,0.0004910333333333334,1.2275833333333334e-05,0.0004910333333333334,5070.90673828125,7848.0,15288.65625,515475.12890625,0.6,2288.9375,21906.62109375,105.3,,
3,0.8899615202099085,250.525095,88.0,11391.25,32760.0,128.594,86570.0,2.4047222222222224e-05,0.000961888888888889,3.6323055555555556e-05,0.0014529222222222223,5071.78173828125,10602.0,15289.1484375,515475.12890625,0.5,2289.30859375,24722.62109375,97.9,,
6,1.6375755686312914,250.013697,78.0,11391.25,32760.0,173.849,124601.0,3.461138888888889e-05,0.0013844555555555557,7.093444444444445e-05,0.0028373777777777782,5071.78173828125,10602.0,15289.1484375,515475.12890625,0.5,2289.40234375,24722.62109375,101.7,,
9,2.3819261603057384,246.831912,89.0,11391.25,32760.0,171.446,137466.0,3.8185e-05,0.0015274,0.00010911944444444445,0.004364777777777778,5071.78173828125,10602.0,15289.39453125,515475.12890625,0.5,2289.44921875,24722.62109375,98.7,,
11,2.885696217417717,248.985319,88.0,11391.25,32760.0,171.846,87244.0,2.4234444444444445e-05,0.0009693777777777778,0.00013335388888888888,0.005334155555555556,5071.78173828125,10602.0,15289.640625,515475.12890625,0.6,2289.484375,24722.62109375,101.9,,
14,3.6312992814928293,246.461165,78.0,11391.25,32760.0,174.427,124587.0,3.46075e-05,0.0013842999999999998,0.00016796138888888886,0.0067184555555555555,5071.78173828125,10602.0,15289.63671875,515475.12890625,0.5,2289.5390625,24722.62109375,99.5,,
17,4.376905366778374,247.693037,90.0,11391.25,32760.0,171.652,137345.0,3.8151388888888886e-05,0.0015260555555555555,0.00020611277777777775,0.008244511111111111,5071.78173828125,10602.0,15289.63671875,515475.12890625,0.7,2289.5859375,24722.62109375,100.6,,
20,5.12049744464457,246.495516,79.0,11391.25,32760.0,174.514,121003.0,3.3611944444444445e-05,0.0013444777777777777,0.0002397247222222222,0.00958898888888889,5071.78173828125,10602.0,15289.63671875,515475.12890625,0.5,2289.6171875,24722.62109375,99.5,,
23,5.865341925993562,246.578657,86.0,11391.25,32760.0,171.633,135234.0,3.7565e-05,0.0015025999999999998,0.0002772897222222222,0.011091588888888889,5071.78173828125,10602.0,15289.8828125,515475.12890625,0.5,2289.66796875,24722.62109375,100.6,,
26,6.608732672408223,245.890246,81.0,11391.25,32760.0,175.179,120317.0,3.342138888888889e-05,0.0013368555555555556,0.00031071111111111106,0.012428444444444445,5071.78173828125,10602.0,15289.8828125,515475.12890625,0.5,2289.66796875,24723.62109375,99.7,,
29,7.3517237808555365,246.314103,85.0,11391.25,32760.0,171.644,137993.0,3.833138888888889e-05,0.0015332555555555554,0.00034904249999999994,0.0139617,5071.78173828125,10602.0,15289.875,515475.12890625,0.5,2289.76171875,24723.62109375,99.6,,
32,8.094540486112237,246.043228,85.0,11391.25,32760.0,174.512,123110.0,3.419722222222222e-05,0.001367888888888889,0.00038323972222222214,0.01532958888888889,5071.78173828125,10602.0,15289.86328125,515475.12890625,0.5,2289.8203125,24723.62109375,99.6,,
