step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
1,0.7667239662259817,751.869165,94.0,26349.25,32760.0,100.855,134568.0,3.738e-05,0.0014952,3.738e-05,0.0014952,5071.68798828125,25560.0,14763.82421875,515475.12890625,0.6,2283.31640625,39023.2578125,101.6,0.0,0.0
2,1.4034485761076212,631.393463,100.0,29493.25,32760.0,198.109,120527.0,3.347972222222222e-05,0.001339188888888889,7.085972222222222e-05,0.002834388888888889,5071.69580078125,28704.0,14764.55859375,515475.12890625,0.6,2283.48828125,42191.2578125,100.1,0.0,0.00390625
3,2.0431529209017754,631.904383,100.0,29493.25,32760.0,198.21,136654.0,3.7959444444444443e-05,0.0015183777777777777,0.00010881916666666666,0.004352766666666666,5071.69580078125,28704.0,14764.46484375,515475.12890625,0.5,2283.6875,42191.2578125,99.9,0.0,0.00390625
4,2.6835442781448364,631.918203,88.0,29493.25,32760.0,201.236,123094.0,3.419277777777778e-05,0.0013677111111111112,0.00014301194444444443,0.005720477777777778,5071.69580078125,28704.0,14764.46484375,515475.12890625,0.5,2283.765625,42191.2578125,100.0,0.0,0.0
5,3.3243584344163537,632.648187,88.0,29493.25,32760.0,203.184,120056.0,3.3348888888888886e-05,0.0013339555555555555,0.00017636083333333333,0.007054433333333334,5071.69580078125,28704.0,14764.95703125,515475.12890625,0.5,2283.80859375,42191.2578125,100.0,0.0,0.0
6,3.96246927883476,631.18668,98.0,29493.25,32760.0,200.499,139700.0,3.880555555555556e-05,0.0015522222222222222,0.0002151663888888889,0.008606655555555556,5071.69580078125,28704.0,14765.203125,515475.12890625,0.5,2283.8671875,42191.2578125,101.7,0.0,0.0
7,4.602632503025234,632.102957,100.0,29493.25,32760.0,202.549,120622.0,3.350611111111111e-05,0.0013402444444444443,0.00024867250000000003,0.0099469,5071.69580078125,28704.0,14765.4296875,515475.12890625,0.6,2283.8671875,42191.2578125,98.4,0.0,0.0
8,5.2424446092918515,632.009285,100.0,29493.25,32760.0,198.616,137218.0,3.811611111111111e-05,0.0015246444444444443,0.00028678861111111116,0.011471544444444443,5071.69580078125,28704.0,14765.421875,515475.12890625,0.6,2283.94140625,42191.2578125,99.9,0.0,0.0
9,5.884767482057214,633.881049,88.0,29493.25,32760.0,201.753,123200.0,3.4222222222222224e-05,0.0013688888888888889,0.0003210108333333334,0.012840433333333331,5071.69580078125,28704.0,14765.421875,515475.12890625,0.5,2284.03125,42191.2578125,100.0,0.0,0.0
10,6.521172257140279,630.250503,89.0,29493.25,32760.0,203.473,120243.0,3.3400833333333334e-05,0.0013360333333333333,0.0003544116666666667,0.014176466666666665,5071.69580078125,28704.0,14765.421875,515475.12890625,0.5,2284.046875,42191.2578125,99.5,0.0,0.0
11,7.156487172469497,632.351361,96.0,29493.25,32760.0,200.071,137927.0,3.8313055555555555e-05,0.001532522222222222,0.00039272472222222224,0.015708988888888886,5071.69580078125,28704.0,14765.66796875,515475.12890625,0.5,2284.11328125,42191.2578125,100.7,0.0,0.00390625
