step,elapsed_sec,step_ms,forward_ms,backward_ms,optimizer_step_ms,checkpoint_ms,loss
1,0.7554464302957058,746.910294,272.664884,372.288993,101.814196,-1e-06,12.071589469909668
2,1.3901063427329063,633.89441,181.05177,356.266967,95.763419,-1e-06,12.07198715209961
3,2.023760008625686,632.892604,181.00254,355.546517,95.632726,-1e-06,12.082959175109863
4,2.6593720158562064,634.860965,180.910948,357.817722,95.343912,-1e-06,12.079099655151367
5,3.295628043822944,635.341653,181.249203,356.165806,97.183482,-1e-06,12.094146728515625
6,3.930078312754631,633.685877,181.258324,355.971923,95.698898,-1e-06,12.09185791015625
7,4.56536269467324,634.49914,181.331835,356.164616,96.227897,-1e-06,12.089879989624023
8,5.199442697688937,633.128978,181.223303,355.713399,95.399303,-1e-06,12.10694694519043
9,5.834667689166963,634.341437,181.212403,355.78609,96.46575,-1e-06,12.186542510986328
10,6.468981594778597,633.341411,181.420376,355.940812,95.124878,-1e-06,12.18602180480957
11,7.102605001069605,632.817253,180.991231,355.247852,95.84074,-1e-06,12.202301979064941
12,7.73668107483536,633.340622,180.957639,355.344163,96.157415,-1e-06,12.19229507446289
13,8.371151213534176,633.694926,181.229453,355.990843,95.726108,-1e-06,12.236209869384766
14,9.005060544237494,633.126458,181.065191,355.79299,95.518736,-1e-06,12.273832321166992
15,9.638398424722254,632.535978,180.921968,355.16453,95.714458,-1e-06,12.277613639831543
16,10.27249133773148,633.302011,181.032081,355.706938,95.821849,-1e-06,12.306800842285156
17,10.906470038928092,633.019505,180.981769,355.81879,95.494905,-1e-06,12.42415714263916
18,11.539356423541903,632.098431,180.955019,355.076649,95.338002,-1e-06,12.485532760620117
19,12.172687454149127,632.528148,180.944529,355.421795,95.439513,-1e-06,12.526474952697754
20,12.806696966290474,633.22177,181.351675,355.846411,95.268111,-1e-06,12.566192626953125
21,13.439745782874525,632.268525,180.989099,354.855665,95.666427,-1e-06,12.602091789245605
22,14.073280016891658,632.788822,180.994419,355.277792,95.714508,-1e-06,12.695184707641602
23,14.707660824991763,633.430093,181.306804,355.688418,95.695868,-1e-06,12.732009887695312
24,15.340204953216016,631.663754,181.091451,354.718523,95.117118,-1e-06,12.8115873336792
25,15.9738245094195,632.827844,180.999839,355.120879,95.965053,-1e-06,12.85101318359375
26,16.607795929536223,633.168098,181.080101,355.523086,95.654397,-1e-06,12.912691116333008
27,17.241108771413565,632.398367,181.041551,354.862726,95.739899,-1e-06,12.986126899719238
28,17.873910753056407,631.987119,180.921958,355.011198,95.289491,-1e-06,12.998409271240234
29,18.50747192837298,632.762933,181.05231,355.494075,95.488684,-1e-06,13.002145767211914
30,19.140573895536363,632.321755,180.947509,354.966627,95.650767,-1e-06,12.99929141998291
31,19.773424837738276,632.055511,180.594434,354.696042,96.009972,-1e-06,12.99772834777832
32,20.406207480467856,632.02932,180.999449,355.029968,95.23213,-1e-06,13.065348625183105
33,21.039513351395726,632.503608,180.919989,354.796764,96.057573,-1e-06,13.048961639404297
34,21.672033878974617,631.723465,180.886338,354.810154,95.276592,-1e-06,13.047271728515625
35,22.306239624507725,633.250569,181.336715,355.268211,95.88794,-1e-06,13.058553695678711
36,22.93852066807449,631.491971,181.003669,354.356578,95.373082,-1e-06,13.049680709838867
37,23.571252079680562,631.943809,180.780917,354.713143,95.703227,-1e-06,13.042014122009277
38,24.204677302390337,632.62397,181.06494,355.214421,95.534485,-1e-06,13.067509651184082
39,24.83804515376687,632.418676,181.06291,354.879096,95.719908,-1e-06,13.05977725982666
40,25.470749485306442,631.897529,180.812496,354.789994,95.498165,-1e-06,13.054916381835938
41,26.10461171437055,632.987615,181.119372,355.526166,95.585406,-1e-06,13.018186569213867
42,26.738059107214212,632.702221,180.817877,354.704833,96.219787,-1e-06,13.03170394897461
43,27.371027132496238,632.05495,181.0436,354.52829,95.647997,-1e-06,13.042154312133789
44,28.003647722303867,631.831487,181.06037,354.836355,95.20345,-1e-06,13.024031639099121
45,28.636286142282188,631.855897,181.240233,354.362757,95.511725,-1e-06,13.030011177062988
46,29.26801675837487,630.909392,180.870087,354.076903,95.19279,-1e-06,13.012957572937012
47,29.90190749708563,633.130387,181.176492,354.752973,96.075783,-1e-06,13.026857376098633
48,30.5339631177485,631.262058,180.951729,353.966361,95.570346,-1e-06,13.02177906036377
49,31.16645965538919,631.719304,180.980019,354.685392,95.323372,-1e-06,13.00072956085205
50,31.79916954692453,631.928849,180.924669,354.689123,95.565336,-1e-06,12.99958324432373
51,32.43221934325993,632.236663,181.177012,354.075233,96.205516,-1e-06,13.005608558654785
52,33.064533768221736,631.574673,180.882868,354.522721,95.431263,-1e-06,12.998536109924316
53,33.69643104635179,631.105845,180.720255,354.068742,95.566565,-1e-06,13.0142240524292
54,34.32769004441798,630.300183,180.780966,353.652826,95.13276,-1e-06,13.010026931762695
55,34.96110694576055,632.618509,181.155822,354.691822,96.016863,-1e-06,13.017000198364258
56,35.592622488737106,630.70674,180.968069,353.847049,95.13683,-1e-06,13.021763801574707
57,36.225520081818104,632.103341,180.963569,354.390658,96.004832,-1e-06,13.021175384521484
58,36.85824295412749,631.912889,181.146832,354.611931,95.393084,-1e-06,13.044024467468262
59,37.49065104033798,631.478261,181.03532,353.650626,96.065933,-1e-06,13.00258731842041
60,38.123344130814075,631.871828,180.727215,354.366437,96.041794,-1e-06,12.977313041687012
61,38.755993980914354,631.726055,181.194982,354.185195,95.585876,-1e-06,13.036076545715332
62,39.38744305167347,630.705489,180.935648,353.635086,95.405373,-1e-06,13.021917343139648
63,40.02019472327083,631.971608,181.03692,354.50787,95.691828,-1e-06,13.010590553283691
64,40.65266270097345,631.692185,181.105511,353.970031,95.706588,-1e-06,13.016352653503418
65,41.28512046765536,631.539032,180.951399,354.132604,95.695938,-1e-06,13.036697387695312
66,41.91708653699607,631.147876,180.969979,354.078413,95.361404,-1e-06,12.99492359161377
67,42.549256258644164,631.394919,180.865047,354.072603,95.704138,-1e-06,13.052163124084473
68,43.181130496785045,631.063386,181.117522,353.952801,95.251001,-1e-06,13.01966667175293
69,43.812545717693865,630.615208,180.893058,353.538354,95.457804,-1e-06,13.017316818237305
70,44.44341227877885,630.085119,180.879198,353.254419,95.189949,-1e-06,13.021947860717773
71,45.07653980702162,632.329825,181.01471,354.634302,95.914301,-1e-06,13.007875442504883
72,45.70764794293791,630.360364,181.092641,353.26455,95.24404,-1e-06,13.065929412841797
73,46.33995770663023,631.526172,181.100662,354.159424,95.541715,-1e-06,13.044615745544434
74,46.97148864902556,630.726989,180.838427,353.694116,95.426953,-1e-06,13.056541442871094
