step,elapsed_sec,step_ms,forward_ms,backward_ms,optimizer_step_ms,checkpoint_ms,loss
1,0.7341514034196734,726.9806,252.931539,371.548308,102.361732,-1e-06,12.078184127807617
2,1.3631329806521535,628.196425,178.221504,353.258248,95.85824,-1e-06,12.073884963989258
3,1.9912334037944674,627.336611,178.202263,351.971118,96.393587,-1e-06,12.082768440246582
4,2.6198509661480784,627.692437,178.145903,352.570467,96.197584,-1e-06,12.066644668579102
5,3.2472373377531767,626.643271,178.203585,351.964507,95.742677,-1e-06,12.104985237121582
6,3.8755006436258554,627.492844,178.263035,352.74295,95.700057,-1e-06,12.0697660446167
7,4.503671147860587,627.343931,178.400717,352.448345,95.747598,-1e-06,12.090704917907715
8,5.132372130639851,627.737098,178.55683,352.8024,95.625355,-1e-06,12.100587844848633
9,5.760022017173469,626.732582,178.275715,352.317533,95.409712,-1e-06,12.173805236816406
10,6.388469515368342,627.640116,178.531079,352.029469,96.156023,-1e-06,12.205307006835938
11,7.016984055750072,627.548204,178.417157,352.384715,95.974781,-1e-06,12.191234588623047
12,7.645041949115694,627.288271,178.358846,352.280593,95.87718,-1e-06,12.218925476074219
13,8.274183439090848,628.335857,178.467778,352.983434,96.122433,-1e-06,12.251626014709473
14,8.903370168991387,628.375457,178.530439,352.180492,96.746573,-1e-06,12.237631797790527
15,9.532095601782203,627.758968,178.706553,352.667579,95.635906,-1e-06,12.269996643066406
16,10.161070479080081,628.160495,178.506659,352.710789,96.184225,-1e-06,12.307690620422363
17,10.789434147067368,627.540534,178.627641,352.507076,95.646226,-1e-06,12.43774700164795
18,11.417873055674136,627.614006,178.402508,352.436184,96.002261,-1e-06,12.51901912689209
19,12.046417145989835,627.724817,178.607451,352.535577,95.790698,-1e-06,12.547850608825684
20,12.674866965040565,627.506734,178.61401,352.299853,95.818348,-1e-06,12.571826934814453
21,13.302896577864885,627.25086,178.582699,352.07546,95.793188,-1e-06,12.603533744812012
22,13.931696361862123,627.941401,178.65627,352.647778,95.89253,-1e-06,12.657108306884766
23,14.560691009275615,628.182835,178.58936,352.494795,96.203065,-1e-06,12.69342041015625
24,15.189454792998731,627.859349,178.744973,352.239762,96.094903,-1e-06,12.818440437316895
25,15.817001638002694,626.741942,178.514519,351.886936,95.581395,-1e-06,12.83902645111084
26,16.444962998852134,627.141748,178.540029,352.008328,95.835129,-1e-06,12.927276611328125
27,17.073674951680005,627.87082,178.683232,352.625828,95.783768,-1e-06,12.95173168182373
28,17.701792725361884,627.308271,178.720933,351.744874,96.090603,-1e-06,12.973806381225586
29,18.33070480171591,628.113504,178.765893,352.939232,95.650656,-1e-06,13.043025970458984
30,18.958987317979336,627.312881,178.559699,352.200551,95.794268,-1e-06,13.021562576293945
31,19.58715067245066,627.342672,178.743503,351.938228,95.879719,-1e-06,13.041315078735352
32,20.215574870817363,627.681696,178.592099,352.187802,96.159183,-1e-06,13.057985305786133
