step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
1,3.689723557792604,285.954265,3.0,3999.25,32760.0,46.233,166927.0,4.636861111111111e-05,0.0018547444444444445,4.636861111111111e-05,0.0018547444444444445,2545.88720703125,3210.0,13714.87109375,515475.12890625,0.5,1453.046875,16890.53515625,8.4,0.0,0.0
2,3.727555476129055,34.999034,3.0,4693.25,32760.0,46.233,0.0,0.0,0.0,4.636861111111111e-05,0.0018547444444444445,2545.88720703125,3904.0,13716.9375,515475.12890625,1.5,1454.375,17691.30859375,106.1,0.0,0.00390625
3,3.7822397220879793,52.078265,44.0,4693.25,32760.0,51.483,9018.0,2.505e-06,0.00010020000000000001,4.887361111111111e-05,0.0019549444444444445,2545.88720703125,3904.0,13716.9375,515475.12890625,0.7,1454.6875,17691.4375,110.1,0.0,0.0
4,3.839415056630969,54.810417,44.0,4693.25,32760.0,57.194,13832.0,3.842222222222222e-06,0.0001536888888888889,5.271583333333333e-05,0.0021086333333333335,2545.88720703125,3904.0,13717.921875,515475.12890625,0.7,1454.80859375,17691.4375,87.1,0.0,0.0
5,3.9002528693526983,58.079139,44.0,4693.25,32760.0,57.194,0.0,0.0,0.0,5.271583333333333e-05,0.0021086333333333335,2545.88720703125,3904.0,13718.4140625,515475.12890625,0.9,1454.80859375,17691.4375,115.2,0.0,0.0
6,3.9570327885448933,54.28722,94.0,4693.25,32760.0,62.394,13376.0,3.7155555555555557e-06,0.00014862222222222223,5.643138888888888e-05,0.0022572555555555557,2545.88720703125,3904.0,13718.4140625,515475.12890625,0.7,1454.80859375,17691.4375,105.2,0.0,0.0
7,4.014363635331392,54.507393,94.0,4693.25,32760.0,62.394,0.0,0.0,0.0,5.643138888888888e-05,0.0022572555555555557,2545.88720703125,3904.0,13718.4140625,515475.12890625,0.9,1454.80859375,17691.4375,84.3,0.0,0.0
8,4.0724702244624496,53.356444,94.0,4693.25,32760.0,88.364,14958.0,4.155e-06,0.0001662,6.0586388888888884e-05,0.0024234555555555557,2545.88720703125,3904.0,13718.90625,515475.12890625,0.9,1454.96875,17691.4375,115.7,0.0,0.0
9,4.129544067196548,49.830568,94.0,4693.25,32760.0,94.784,15232.0,4.2311111111111114e-06,0.00016924444444444444,6.48175e-05,0.0025927000000000003,2545.88720703125,3904.0,13719.3984375,515475.12890625,0.8,1454.96875,17691.4375,95.9,0.0,0.0
10,4.1866362215951085,54.859958,92.0,4693.25,32760.0,94.784,0.0,0.0,0.0,6.48175e-05,0.0025927000000000003,2545.88720703125,3904.0,13719.3984375,515475.12890625,0.7,1454.96875,17691.4375,104.3,0.0,0.0
11,4.243619273416698,54.266599,92.0,4693.25,32760.0,99.913,12906.0,3.585e-06,0.0001434,6.84025e-05,0.0027361000000000004,2545.88720703125,3904.0,13719.3984375,515475.12890625,0.7,1455.1484375,17692.4375,105.5,0.0,0.0
12,4.3110295394435525,64.898066,92.0,4693.25,32760.0,99.913,0.0,0.0,0.0,6.84025e-05,0.0027361000000000004,2545.88720703125,3904.0,13719.3984375,515475.12890625,0.7,1455.1484375,17692.4375,97.3,0.0,0.0
13,4.378450656309724,60.311144,89.0,4693.25,32760.0,103.533,12275.0,3.409722222222222e-06,0.00013638888888888888,7.181222222222221e-05,0.0028724888888888894,2545.88720703125,3904.0,13720.6015625,515475.12890625,0.8,1455.1484375,17692.4375,111.3,0.0,0.0
14,4.446227099746466,65.268113,89.0,4693.25,32760.0,134.502,13920.0,3.866666666666666e-06,0.00015466666666666667,7.567888888888888e-05,0.003027155555555556,2545.88720703125,3904.0,13720.84765625,515475.12890625,0.7,1455.1484375,17692.4375,88.5,0.0,0.0
15,4.51371278706938,64.867147,89.0,4693.25,32760.0,134.502,0.0,0.0,0.0,7.567888888888888e-05,0.003027155555555556,2545.88720703125,3904.0,13721.09375,515475.12890625,0.8,1455.328125,17692.4375,115.2,0.0,0.0
16,4.5812883162871,63.082228,78.0,4693.25,32760.0,138.24,11510.0,3.197222222222222e-06,0.0001278888888888889,7.88761111111111e-05,0.003155044444444445,2545.88720703125,3904.0,13721.09375,515475.12890625,0.7,1455.328125,17692.4375,91.6,0.0,0.0
17,4.648640422150493,64.853147,78.0,4693.25,32760.0,148.011,13459.0,3.738611111111111e-06,0.00014954444444444445,8.26147222222222e-05,0.0033045888888888894,2545.88720703125,3904.0,13721.09375,515475.12890625,0.7,1455.328125,17692.4375,103.9,0.0,0.0
18,4.716022248379886,64.895097,78.0,4693.25,32760.0,148.011,0.0,0.0,0.0,8.26147222222222e-05,0.0033045888888888894,2545.88720703125,3904.0,13721.09375,515475.12890625,0.8,1455.328125,17692.4375,118.7,0.0,0.00390625
19,4.784002804197371,65.412275,78.0,4693.25,32760.0,153.925,11311.0,3.1419444444444443e-06,0.00012567777777777777,8.575666666666665e-05,0.003430266666666667,2545.88720703125,3904.0,13721.08984375,515475.12890625,0.8,1455.515625,17692.4375,102.9,0.0,0.0
20,4.851857848465443,65.276983,78.0,4693.25,32760.0,155.043,12929.0,3.591388888888889e-06,0.00014365555555555557,8.934805555555554e-05,0.0035739222222222226,2545.88720703125,3904.0,13721.58203125,515475.12890625,0.9,1455.515625,17692.4375,83.9,0.0,0.0
21,4.919258334673941,61.124087,78.0,4693.25,32760.0,155.043,0.0,0.0,0.0,8.934805555555554e-05,0.0035739222222222226,2545.88720703125,3904.0,13721.58203125,515475.12890625,0.7,1455.515625,17692.4375,125.5,0.0,0.0
22,4.986791523173451,65.002229,78.0,4693.25,32760.0,153.293,12384.0,3.44e-06,0.0001376,9.278805555555554e-05,0.0037115222222222225,2545.88720703125,3904.0,13721.58203125,515475.12890625,0.8,1455.62109375,17692.4375,103.7,0.0,0.0
23,5.054288251325488,64.888747,78.0,4693.25,32760.0,152.59,12748.0,3.5411111111111113e-06,0.00014164444444444445,9.632916666666665e-05,0.003853166666666667,2545.88720703125,3904.0,13721.58203125,515475.12890625,0.6,1455.62109375,17692.4375,87.2,0.0,0.0
